osmid,y,x,highway,street_count,ref,junction,railway,geometry
108041602,-12.0998335,-77.0331063,,3,,,,POINT (-77.0331063 -12.0998335)
108041912,-12.0982004,-77.0331734,,4,,,,POINT (-77.0331734 -12.0982004)
108042189,-12.1008814,-77.0331517,,4,,,,POINT (-77.0331517 -12.1008814)
108042533,-12.0996997,-77.0323134,,4,,,,POINT (-77.0323134 -12.0996997)
108043462,-12.0980288,-77.0293374,,3,,,,POINT (-77.0293374 -12.0980288)
108043475,-12.0984509,-77.0296332,,3,,,,POINT (-77.0296332 -12.0984509)
108043490,-12.0983515,-77.0289194,,3,,,,POINT (-77.0289194 -12.0983515)
108056663,-12.0991946,-77.0291566,,4,,,,POINT (-77.0291566 -12.0991946)
108056664,-12.0992755,-77.029675,,3,,,,POINT (-77.029675 -12.0992755)
108056665,-12.0993544,-77.0301834,,4,,,,POINT (-77.0301834 -12.0993544)
108056667,-12.0994315,-77.0306414,,4,,,,POINT (-77.0306414 -12.0994315)
108056668,-12.0995093,-77.0311283,traffic_signals,4,,,,POINT (-77.0311283 -12.0995093)
108056669,-12.0996742,-77.0321574,,4,,,,POINT (-77.0321574 -12.0996742)
108064557,-12.1007046,-77.0319878,,3,,,,POINT (-77.0319878 -12.1007046)
108064561,-12.0988616,-77.0322931,,3,,,,POINT (-77.0322931 -12.0988616)
108064562,-12.0980718,-77.0324207,traffic_signals,4,,,,POINT (-77.0324207 -12.0980718)
108064564,-12.097052,-77.0325634,traffic_signals,4,,,,POINT (-77.0325634 -12.097052)
108064570,-12.096174,-77.0326916,,3,,,,POINT (-77.0326916 -12.096174)
108064572,-12.0955384,-77.0327893,traffic_signals,4,,,,POINT (-77.0327893 -12.0955384)
108064581,-12.0945815,-77.0329248,,3,,,,POINT (-77.0329248 -12.0945815)
108064590,-12.0906866,-77.0335092,,3,,,,POINT (-77.0335092 -12.0906866)
108064592,-12.0906219,-77.0335188,traffic_signals,4,,,,POINT (-77.0335188 -12.0906219)
108064601,-12.0897851,-77.0336272,,3,,,,POINT (-77.0336272 -12.0897851)
108064608,-12.089012,-77.0337377,traffic_signals,4,,,,POINT (-77.0337377 -12.089012)
108064612,-12.0880707,-77.0338714,traffic_signals,4,,,,POINT (-77.0338714 -12.0880707)
108064614,-12.0869322,-77.0340458,traffic_signals,4,,,,POINT (-77.0340458 -12.0869322)
108064618,-12.0863149,-77.0341301,,3,,,,POINT (-77.0341301 -12.0863149)
108064619,-12.0856816,-77.0342172,traffic_signals,4,,,,POINT (-77.0342172 -12.0856816)
108064621,-12.084623,-77.0343714,,4,,,,POINT (-77.0343714 -12.084623)
108064624,-12.0834888,-77.0345364,traffic_signals,4,,,,POINT (-77.0345364 -12.0834888)
108064626,-12.0824441,-77.0346875,traffic_signals,4,,,,POINT (-77.0346875 -12.0824441)
108064627,-12.0813552,-77.0348449,traffic_signals,4,,,,POINT (-77.0348449 -12.0813552)
108064629,-12.0807343,-77.0349383,,4,,,,POINT (-77.0349383 -12.0807343)
108064631,-12.0796576,-77.0351003,traffic_signals,4,,,,POINT (-77.0351003 -12.0796576)
108170873,-12.104541,-77.0314969,,4,,,,POINT (-77.0314969 -12.104541)
108170876,-12.105597,-77.0313189,,3,,,,POINT (-77.0313189 -12.105597)
108170878,-12.1066639,-77.0311326,traffic_signals,4,,,,POINT (-77.0311326 -12.1066639)
108170879,-12.1077457,-77.030951,traffic_signals,4,,,,POINT (-77.030951 -12.1077457)
108170880,-12.1088013,-77.0307637,,3,,,,POINT (-77.0307637 -12.1088013)
108171101,-12.0796819,-77.0352723,traffic_signals,4,,,,POINT (-77.0352723 -12.0796819)
108171102,-12.0807577,-77.0351132,,4,,,,POINT (-77.0351132 -12.0807577)
108171103,-12.0813771,-77.0350216,traffic_signals,4,,,,POINT (-77.0350216 -12.0813771)
108171104,-12.0824682,-77.0348602,traffic_signals,4,,,,POINT (-77.0348602 -12.0824682)
108171105,-12.0835123,-77.0347058,traffic_signals,4,,,,POINT (-77.0347058 -12.0835123)
108171106,-12.0847955,-77.0355752,traffic_signals,4,,,,POINT (-77.0355752 -12.0847955)
108171108,-12.0857051,-77.0343828,traffic_signals,4,,,,POINT (-77.0343828 -12.0857051)
108171113,-12.0882715,-77.0340197,traffic_signals,4,,,,POINT (-77.0340197 -12.0882715)
108171114,-12.088826,-77.0339347,traffic_signals,4,,,,POINT (-77.0339347 -12.088826)
108171115,-12.0890981,-77.0338891,,3,,,,POINT (-77.0338891 -12.0890981)
108171116,-12.0897849,-77.0337836,,3,,,,POINT (-77.0337836 -12.0897849)
108171117,-12.0906388,-77.0336533,traffic_signals,4,,,,POINT (-77.0336533 -12.0906388)
108171125,-12.0944786,-77.0330971,traffic_signals,4,,,,POINT (-77.0330971 -12.0944786)
108171129,-12.0955413,-77.0329479,traffic_signals,4,,,,POINT (-77.0329479 -12.0955413)
108171130,-12.0961819,-77.0328482,,3,,,,POINT (-77.0328482 -12.0961819)
108171132,-12.0970696,-77.0327155,traffic_signals,4,,,,POINT (-77.0327155 -12.0970696)
108171135,-12.0980967,-77.032573,traffic_signals,4,,,,POINT (-77.032573 -12.0980967)
108171136,-12.1007162,-77.0321388,,3,,,,POINT (-77.0321388 -12.1007162)
108171139,-12.102833,-77.0317761,,3,,,,POINT (-77.0317761 -12.102833)
108172213,-12.1077209,-77.0308012,traffic_signals,4,,,,POINT (-77.0308012 -12.1077209)
108172214,-12.1066389,-77.0309776,traffic_signals,4,,,,POINT (-77.0309776 -12.1066389)
108172216,-12.10559,-77.0311538,,3,,,,POINT (-77.0311538 -12.10559)
108172222,-12.1023636,-77.0317,,4,,,,POINT (-77.0317 -12.1023636)
108172224,-12.1017896,-77.031796,,3,,,,POINT (-77.031796 -12.1017896)
108177573,-12.1194441,-77.0289561,traffic_signals,3,,,,POINT (-77.0289561 -12.1194441)
108177576,-12.1192979,-77.0288816,,3,,,,POINT (-77.0288816 -12.1192979)
108177580,-12.1182774,-77.0290071,,3,,,,POINT (-77.0290071 -12.1182774)
108177584,-12.1169466,-77.0292257,traffic_signals,4,,,,POINT (-77.0292257 -12.1169466)
108177587,-12.1159226,-77.0293963,,3,,,,POINT (-77.0293963 -12.1159226)
108177589,-12.1137747,-77.0297656,traffic_signals,4,,,,POINT (-77.0297656 -12.1137747)
108177590,-12.113698,-77.0297793,traffic_signals,4,,,,POINT (-77.0297793 -12.113698)
108177591,-12.1116159,-77.0301498,,4,,,,POINT (-77.0301498 -12.1116159)
108177593,-12.1105781,-77.0303225,traffic_signals,4,,,,POINT (-77.0303225 -12.1105781)
108177596,-12.1095394,-77.0304904,traffic_signals,4,,,,POINT (-77.0304904 -12.1095394)
108177597,-12.1093146,-77.0305282,,3,,,,POINT (-77.0305282 -12.1093146)
108178119,-12.1245531,-77.0293907,traffic_signals,4,,,,POINT (-77.0293907 -12.1245531)
108178122,-12.1223648,-77.0290937,traffic_signals,3,,,,POINT (-77.0290937 -12.1223648)
108178124,-12.121318,-77.0290097,,3,,,,POINT (-77.0290097 -12.121318)
108178130,-12.1198384,-77.0289671,,3,,,,POINT (-77.0289671 -12.1198384)
108178882,-12.1193396,-77.029251,,3,,,,POINT (-77.029251 -12.1193396)
108180343,-12.1095416,-77.0306371,traffic_signals,4,,,,POINT (-77.0306371 -12.1095416)
108180344,-12.1105917,-77.0304668,traffic_signals,4,,,,POINT (-77.0304668 -12.1105917)
108180346,-12.1116194,-77.0302875,,4,,,,POINT (-77.0302875 -12.1116194)
108180347,-12.1126445,-77.0301158,traffic_signals,4,,,,POINT (-77.0301158 -12.1126445)
108180348,-12.1137042,-77.0299433,traffic_signals,4,,,,POINT (-77.0299433 -12.1137042)
108180350,-12.1137763,-77.0299324,traffic_signals,4,,,,POINT (-77.0299324 -12.1137763)
108180353,-12.1148553,-77.0297546,,3,,,,POINT (-77.0297546 -12.1148553)
108180354,-12.1159231,-77.0295729,,4,,,,POINT (-77.0295729 -12.1159231)
108180355,-12.1169545,-77.0293879,traffic_signals,4,,,,POINT (-77.0293879 -12.1169545)
108180356,-12.1179957,-77.0292057,traffic_signals,4,,,,POINT (-77.0292057 -12.1179957)
108183448,-12.1313917,-77.029886,,3,,,,POINT (-77.029886 -12.1313917)
108183453,-12.1308061,-77.0298424,,4,,,,POINT (-77.0298424 -12.1308061)
108183454,-12.1301537,-77.0297892,,3,,,,POINT (-77.0297892 -12.1301537)
108183455,-12.1298024,-77.0297564,traffic_signals,4,,,,POINT (-77.0297564 -12.1298024)
108183456,-12.1286964,-77.029655,,4,,,,POINT (-77.029655 -12.1286964)
108183457,-12.1278111,-77.0295662,,4,,,,POINT (-77.0295662 -12.1278111)
108183458,-12.1268706,-77.0295303,traffic_signals,5,,,,POINT (-77.0295303 -12.1268706)
108183459,-12.1259848,-77.029461,,4,,,,POINT (-77.029461 -12.1259848)
108183461,-12.1254635,-77.0294338,,3,,,,POINT (-77.0294338 -12.1254635)
108188418,-12.1291544,-77.0346665,,3,,,,POINT (-77.0346665 -12.1291544)
108188424,-12.1299425,-77.0341062,,3,,,,POINT (-77.0341062 -12.1299425)
108188430,-12.1301033,-77.0330102,,3,,,,POINT (-77.0330102 -12.1301033)
108188432,-12.1301501,-77.0329204,,3,,,,POINT (-77.0329204 -12.1301501)
108188442,-12.1309858,-77.0321617,,3,,,,POINT (-77.0321617 -12.1309858)
108188451,-12.130841,-77.0310648,,3,,,,POINT (-77.0310648 -12.130841)
108188458,-12.1321849,-77.0291248,,3,,,,POINT (-77.0291248 -12.1321849)
108191733,-12.1241355,-77.0316671,,4,,,,POINT (-77.0316671 -12.1241355)
108191735,-12.1244197,-77.0301716,,4,,,,POINT (-77.0301716 -12.1244197)
